00:00:00.961498 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.961943 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/IE8 - Win7/IE8 - Win7.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:00.961947 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.962667 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/IE8 - Win7/IE8 - Win7.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:00.962673 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.964045 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:00.964050 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.964444 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:00.964448 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.965519 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:00.965523 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.147990 nspr-3   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:01.149455 nspr-3   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={e54f6256-97a7-4947-8a78-10c013ddf4b8} aComponent={HostWrap} aText={VirtualBox is not currently allowed to access USB devices.  You can change this by adding your user to the 'vboxusers' group.  Please see the user manual for a more detailed explanation}, preserve=false aResultDetail=0
00:00:01.199716 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.199723 nspr-3   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.282131 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.282139 nspr-2   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.399872 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.399881 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.400479 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:01.405784 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:01.410210 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:01.411641 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:01.415083 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.415092 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.422549 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.422569 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.426099 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.426108 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.429250 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.429259 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.433696 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.433702 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.436529 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/GNS3 VM/GNS3 VM.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:01.436534 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:01.576635 nspr-4   Saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:01.586985 nspr-4   Finished saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml"
00:00:06.033116 nspr-3   Saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:06.044771 nspr-3   Finished saving settings file "/home/shg/.config/VirtualBox/VirtualBox.xml"
00:00:06.054051 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:06.056764 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.056777 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.059448 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.059460 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.060429 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.060438 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.061019 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:06.062711 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:06.064543 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.064552 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.065351 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.065360 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:06.066105 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={Runtime error opening '/home/shg/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10.vbox' for reading VERR_FILE_NOT_FOUND (File not found.).
00:00:06.066113 nspr-4   /home/vbox/tinderbox/build-trunk/svn/src/VBox/Main/src-server/MachineImpl.cpp[1025] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
